cotizante_tipo_id,cotizante_id,afiliado_tipo_id,afiliado_id,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,dpto_afiliacion,mpio_afiliacion,dpto_residencia,mpio_residencia,direccion_residencia,telefono_residencia,telefono_movil,fecha_nacimiento,fecha_afiliacion,fecha_aplicacion_cambio_estado,descripcion_estamento,estado_afiliado_id,subestado_afiliado_id,eps_tipo_afiliado_id,parentesco,fecha_estao_corte,fecha_corte,correo_electronico,edad,medico_familiar,plan_atencion,etnia,discapacidad,tipo_discapacidad,nombre_afiliado,plan,fecha_inicio_cobertura,fecha_fin_cobertura,antiguedad_anios,anio_afiliacion
CC,73B6A09B,CC,73B6A09B,SIMPSON,CAGE,PAPALOTE,TRIBILIN,M,76,001,76,001,CRA 87 # 50-56,3844727812196,3573515496,06/10/1974,30/11/2000,06/10/2008,TRABAJADOR OFICIAL CON PREST DE LEY,AC,A01,C,,,26/06/2026,papalote.simpson73b6@example.com,51,NEMO MARLIN LUIGI KENT,5,NINGUNA DE LAS ANTERIORES,NO,,SIMPSON CAGE PAPALOTE TRIBILIN,COTIZANTES SSUV,,,25.6,2000
CC,5F90FC87,CC,5F90FC87,WANDA,ESTEVEZ,FLORINDA,MASHA,F,76,001,76,130,AV 108 # 66-30,30766471243468348549,3751579800,12/01/1968,01/08/2004,06/10/2008,EMPLEADO PUBLICO NO DOCENTE,AC,A01,C,,,26/06/2026,florinda.wanda5f90@example.com,58,POPIS MAFALDA GRIMM SKINNER,5,NINGUNA DE LAS ANTERIORES,NO,,WANDA ESTEVEZ FLORINDA MASHA,COTIZANTES SSUV,,,21.9,2004
CC,74F0BEAE,CC,74F0BEAE,KENT,FLANDERS,MERIDA,MAFALDA,F,76,001,76,001,AV 80 # 23-64,3269736063,3017982109,14/02/1969,01/04/2005,06/10/2008,EMPLEADO PUBLICO NO DOCENTE,AC,A01,C,,,26/06/2026,merida.kent74f0@example.com,57,MAGGIE SUSANITA PLANKTON CAGE,5,NINGUNA DE LAS ANTERIORES,NO,,KENT FLANDERS MERIDA MAFALDA,COTIZANTES SSUV,,,21.2,2005
CC,4F560ED5,CC,4F560ED5,PLANKTON,KOOPA,PANORAMIX,,M,76,001,76,520,AV 66 # 71-30,383328596834511610651513,3822262936,23/08/1972,02/08/2004,06/10/2008,EMPLEADO PUBLICO NO DOCENTE,AC,A01,C,,,26/06/2026,panoramix.plankton4f56@example.com,53,POPIS MAFALDA GRIMM SKINNER,5,"NEGRO, MULATO, AFROCOLOMBIANO O AFRODESCENDIENTE",NO,,PLANKTON KOOPA PANORAMIX,COTIZANTES SSUV,,,21.9,2004
CC,F791F1E5,CC,F791F1E5,JACK,DIMMSDALE,CHILINDRINA,,F,76,001,76,001,TRANS 37 # 5-79,349960520488252679,3138851586,10/04/1981,01/05/2007,06/10/2008,EMPLEADO PUBLICO NO DOCENTE,AC,A01,C,,,26/06/2026,chilindrina.jackf791@example.com,45,MAGGIE SUSANITA PLANKTON CAGE,5,NINGUNA DE LAS ANTERIORES,NO,,JACK DIMMSDALE CHILINDRINA,COTIZANTES SSUV,,,19.2,2007
CC,431E930F,CC,431E930F,MAXIMOFF,RAMBEAU,WOODY,ODIE,M,76,001,76,364,AV 46 # 91-67,3487188299,3178076615,04/04/1972,01/02/2015,02/02/2015,EMPLEADO PUBLICO DOCENTE DECRETO 1279,AC,A01,C,,,26/06/2026,woody.maximoff431e@example.com,54,NEMO MARLIN LUIGI KENT,5,,NO,,MAXIMOFF RAMBEAU WOODY ODIE,COTIZANTES SSUV,,,11.4,2015
CC,548C1D84,CC,548C1D84,SAMURAI,MOJO,POPIS,MINNIE,F,76,001,76,001,AV 76 # 71-46,3061870013651,32201635769136472,10/02/1984,01/02/2017,09/02/2017,EMPLEADO PUBLICO DOCENTE DECRETO 1279,AC,A01,C,,,26/06/2026,popis.samurai548c@example.com,42,NEMO MARLIN LUIGI KENT,5,NINGUNA DE LAS ANTERIORES,NO,,SAMURAI MOJO POPIS MINNIE,COTIZANTES SSUV,,,9.4,2017
CC,18A806EF,CC,18A806EF,RELAMPAGO,STRANGE,MULAN,,F,76,001,76,001,CRA 38 # 42-29,368421228985354143019426736325,3153104308,02/12/1945,01/09/1981,06/10/2008,PENSIONADO SOBREVIVIENTE,AC,A01,C,,,26/06/2026,mulan.relampago18a8@example.com,80,NEMO MARLIN LUIGI KENT,5,MESTIZO,NO,,RELAMPAGO STRANGE MULAN,COTIZANTES SSUV,,,44.8,1981
CC,09697101,CC,09697101,BANNER,SIMPSON,SNOOPY,,M,76,001,76,001,CRA 61 # 20-66,310025904754769171,3359518469,22/04/1939,01/08/1986,06/10/2008,PENSIONADO OFICIAL,AC,A01,C,,,26/06/2026,snoopy.banner0969@example.com,87,NEMO MARLIN LUIGI KENT,5,MESTIZO,NO,,BANNER SIMPSON SNOOPY,COTIZANTES SSUV,,,39.9,1986
CC,A5A1C825,CC,A5A1C825,VORTEX,CASTLE,MANOLITO,,M,76,001,76,001,AV 17 # 91-18,34712719927241987833330,3655976135,15/01/1941,01/08/1986,06/10/2008,PENSIONADO DOCENTE,AC,A01,C,,,26/06/2026,manolito.vortexa5a1@example.com,85,SUSANITA MILK VORTEX PYM,5,MESTIZO,NO,,VORTEX CASTLE MANOLITO,COTIZANTES SSUV,,,39.9,1986
